Run,ENA-CHECKLIST,ENA-SPOT-COUNT,ENA-BASE-COUNT,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample,Read depth
ERR1225418,ERC000011,40266,11716990,2016-12-27,2017-01-06,ERS1039293,
ERR1225419,ERC000011,34144,10010168,2016-12-27,2017-01-06,ERS1039294,
ERR1225420,ERC000011,36053,10493997,2016-12-27,2017-01-06,ERS1039295,
ERR1225421,ERC000011,39122,11392334,2016-12-27,2017-01-06,ERS1039296,
ERR1225422,ERC000011,51525,15034839,2016-12-27,2017-01-06,ERS1039297,
ERR1225423,ERC000011,49690,14350118,2016-12-27,2017-01-06,ERS1039298,
ERR1225424,ERC000011,69846,20218690,2016-12-27,2017-01-06,ERS1039299,
ERR1225425,ERC000011,65040,18892876,2016-12-27,2017-01-06,ERS1039300,
ERR1225426,ERC000011,32524,9503892,2016-12-27,2017-01-06,ERS1039301,
ERR1225427,ERC000011,51820,15149166,2016-12-27,2017-01-06,ERS1039302,
ERR1225428,ERC000011,30041,8775501,2016-12-27,2017-01-06,ERS1039303,
ERR1225429,ERC000011,48664,14174771,2016-12-27,2017-01-06,ERS1039304,
ERR1225430,ERC000011,46940,13649748,2016-12-27,2017-01-06,ERS1039305,
ERR1225431,ERC000011,34505,10037001,2016-12-27,2017-01-06,ERS1039306,
ERR1225432,ERC000011,51873,15122873,2016-12-27,2017-01-06,ERS1039307,
ERR1225433,ERC000011,60112,17516680,2016-12-27,2017-01-06,ERS1039308,
ERR1225434,ERC000011,66374,19376428,2016-12-27,2017-01-06,ERS1039309,
ERR1225435,ERC000011,58995,17175795,2016-12-27,2017-01-06,ERS1039310,
ERR1225436,ERC000011,43040,12502173,2016-12-27,2017-01-06,ERS1039311,
ERR1225437,ERC000011,58703,17121414,2016-12-27,2017-01-06,ERS1039312,
ERR1225438,ERC000011,46148,13556340,2016-12-27,2017-01-06,ERS1039313,
ERR1225439,ERC000011,53275,15568515,2016-12-27,2017-01-06,ERS1039314,
ERR1225440,ERC000011,66065,19247502,2016-12-27,2017-01-06,ERS1039315,
ERR1225441,ERC000011,47695,13958535,2016-12-27,2017-01-06,ERS1039316,
ERR1225442,ERC000011,54766,15912305,2016-12-27,2017-01-06,ERS1039317,
ERR1225443,ERC000011,41336,12059647,2016-12-27,2017-01-06,ERS1039318,
ERR1225444,ERC000011,55384,16075730,2016-12-27,2017-01-06,ERS1039319,
ERR1225445,ERC000011,54333,15880165,2016-12-27,2017-01-06,ERS1039320,
ERR1225446,ERC000011,58027,17034895,2016-12-27,2017-01-06,ERS1039321,
